Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-29 09:05:55,false,"Wellesley Running","5.59","687","00:46:13","161","175","3.5","159","165","8:16","7:20","128","125","1.22","8.2","10.0","283","8:16","377","0.0","373","492","--","7,348","--","No","00:04:48.3","6","--","00:45:59","00:46:15","133","201"
Running,2024-09-27 08:19:00,false,"New York Running","12.55","1,468","01:51:31","154","166","3.8","158","167","8:53","4:19","328","157","1.15","8.5","9.8","292","8:52","357","0.0","353","683","--","17,514","--","No","00:04:48.7","13","--","01:51:29","01:51:31","6","91"
Running,2024-09-25 12:05:23,false,"New York Running","6.16","746","00:49:30","165","175","3.6","160","165","8:02","6:25","295","285","1.25","8.1","10.1","280","8:00","400","0.0","394","598","--","7,898","--","No","00:01:11.7","7","--","00:49:28","00:49:30","35","136"
Running,2024-09-23 12:03:35,false,"New York Running","12.25","1,458","01:42:33","163","174","4.2","159","165","8:22","6:44","581","581","1.21","8.3","10.0","286","8:20","384","0.0","377","507","--","16,230","--","No","00:02:08.8","13","--","01:42:30","01:42:33","30","142"
Running,2024-09-21 10:45:50,false,"Naples Running","3.96","494","00:32:47","168","188","3.3","158","165","8:17","7:14","16","23","1.21","8.2","9.9","282","8:18","373","0.0","370","470","--","5,240","--","No","00:07:57.9","4","--","00:32:46","00:32:47","5","18"
Running,2024-09-20 10:15:07,false,"Naples Running","4.29","543","00:35:59","168","187","3.4","160","165","8:23","6:37","16","23","1.20","8.2","9.9","282","8:24","367","0.0","365","482","--","5,756","--","No","00:02:27.3","5","--","00:35:53","00:35:59","3","18"
Running,2024-09-19 09:04:26,false,"Naples Running","4.24","528","00:35:17","166","184","3.4","157","163","8:19","7:25","10","16","1.23","8.2","10.1","286","8:20","379","0.0","376","469","--","5,554","--","No","00:02:01.1","5","--","00:35:15","00:35:17","2","19"
Running,2024-09-17 10:11:04,false,"New York Running","6.18","766","00:52:25","162","175","3.5","159","163","8:29","7:44","295","289","1.19","8.3","9.9","286","8:28","380","0.0","373","481","--","8,326","--","No","00:01:32.2","7","--","00:52:11","00:52:25","29","136"
Running,2024-09-15 07:40:02,false,"New York Running","15.56","1,908","02:21:04","164","177","4.3","157","167","9:04","7:30","148","151","1.13","8.6","9.7","293","9:05","343","0.0","340","452","--","22,140","--","No","00:04:58.7","16","--","02:20:40","02:21:04","65","126"
Running,2024-09-12 08:06:26,false,"Chicago Running","4.48","572","00:38:54","163","178","3.3","156","169","8:41","5:03","138","144","1.19","8.3","9.8","285","8:40","367","0.0","355","507","--","6,090","--","No","00:04:49.9","5","--","00:38:25","00:38:54","577","647"
